variant,n,trial,time_ns
lru_memoize(128),35,6,24404
lru_memoize(128),35,7,26709
lru_memoize(128),35,8,29794
lru_memoize(128),35,9,27050
lru_memoize(128),40,0,31458
lru_memoize(128),40,1,36315
lru_memoize(128),40,2,27352
lru_memoize(128),40,3,29930
lru_memoize(128),40,4,30007
lru_memoize(128),40,5,36001
lru_memoize(128),40,6,27722
lru_memoize(128),40,7,45967
lru_memoize(128),40,8,34976
lru_memoize(128),40,9,33452
functools.lru_cache(None),10,0,13335
functools.lru_cache(None),10,1,4175
functools.lru_cache(None),10,2,3439
functools.lru_cache(None),10,3,3061
functools.lru_cache(None),10,4,6647
functools.lru_cache(None),10,5,4022
functools.lru_cache(None),10,6,3337
functools.lru_cache(None),10,7,3031
functools.lru_cache(None),10,8,2877
functools.lru_cache(None),10,9,2919
functools.lru_cache(None),15,0,6033
functools.lru_cache(None),15,1,7367
functools.lru_cache(None),15,2,4411
functools.lru_cache(None),15,3,4288
functools.lru_cache(None),15,4,4242
functools.lru_cache(None),15,5,4092
functools.lru_cache(None),15,6,4164
functools.lru_cache(None),15,7,4038
functools.lru_cache(None),15,8,6990
functools.lru_cache(None),15,9,4108
functools.lru_cache(None),20,0,6121
functools.lru_cache(None),20,1,5796
functools.lru_cache(None),20,2,5555
functools.lru_cache(None),20,3,5304
functools.lru_cache(None),20,4,5307
functools.lru_cache(None),20,5,8501
functools.lru_cache(None),20,6,5407
functools.lru_cache(None),20,7,5290
functools.lru_cache(None),20,8,5326
functools.lru_cache(None),20,9,5271
functools.lru_cache(None),25,0,14977
functools.lru_cache(None),25,1,9693
functools.lru_cache(None),25,2,6706
functools.lru_cache(None),25,3,6824
functools.lru_cache(None),25,4,9802
functools.lru_cache(None),25,5,6655
functools.lru_cache(None),25,6,9136
functools.lru_cache(None),25,7,6855
functools.lru_cache(None),25,8,9403
functools.lru_cache(None),25,9,6753
functools.lru_cache(None),30,0,8659
functools.lru_cache(None),30,1,8180
functools.lru_cache(None),30,2,11291
functools.lru_cache(None),30,3,7873
functools.lru_cache(None),30,4,10815
functools.lru_cache(None),30,5,10979
functools.lru_cache(None),30,6,7832
functools.lru_cache(None),30,7,7832
functools.lru_cache(None),30,8,7962
functools.lru_cache(None),30,9,13826
functools.lru_cache(None),35,0,10268
functools.lru_cache(None),35,1,12696
functools.lru_cache(None),35,2,9906
functools.lru_cache(None),35,3,12528
functools.lru_cache(None),35,4,9533
functools.lru_cache(None),35,5,9456
functools.lru_cache(None),35,6,12508
functools.lru_cache(None),35,7,9449
functools.lru_cache(None),35,8,9426
functools.lru_cache(None),35,9,9348
functools.lru_cache(None),40,0,18329
functools.lru_cache(None),40,1,11165
functools.lru_cache(None),40,2,14283
functools.lru_cache(None),40,3,13973
functools.lru_cache(None),40,4,11149
functools.lru_cache(None),40,5,11090
functools.lru_cache(None),40,6,13519
functools.lru_cache(None),40,7,13783
functools.lru_cache(None),40,8,11167
functools.lru_cache(None),40,9,11187
functools.lru_cache(128),10,0,4771
functools.lru_cache(128),10,1,4063
functools.lru_cache(128),10,2,3648
functools.lru_cache(128),10,3,6467
functools.lru_cache(128),10,4,3345
functools.lru_cache(128),10,5,3174
functools.lru_cache(128),10,6,3199
functools.lru_cache(128),10,7,5995
functools.lru_cache(128),10,8,5920
functools.lru_cache(128),10,9,3265
functools.lru_cache(128),15,0,5403
functools.lru_cache(128),15,1,7825
functools.lru_cache(128),15,2,4664
functools.lru_cache(128),15,3,4853
functools.lru_cache(128),15,4,10852
functools.lru_cache(128),15,5,7553
functools.lru_cache(128),15,6,4621
functools.lru_cache(128),15,7,7845
functools.lru_cache(128),15,8,7912
functools.lru_cache(128),15,9,4757
functools.lru_cache(128),20,0,9686
functools.lru_cache(128),20,1,6285
functools.lru_cache(128),20,2,11358
functools.lru_cache(128),20,3,5924
functools.lru_cache(128),20,4,5732
functools.lru_cache(128),20,5,6083
functools.lru_cache(128),20,6,5755
functools.lru_cache(128),20,7,8776
functools.lru_cache(128),20,8,5729
functools.lru_cache(128),20,9,8555
